"price","bed","bath","acre_lot","city","state","zip_code","house_size"
925000,"4","3",0.92,"Foxboro","Massachusetts",2035,2874
699000,"2","3",1.19,"Walpole","Massachusetts",2081,2350
699900,"3","3",1.38,"Rehoboth","Massachusetts",2769,1696
297000,"3","2",0.4,"Rehoboth","Massachusetts",2769,1609
585000,"3","2",0.23,"East Providence","Rhode Island",2916,1947
469000,"2","2",1.5,"Rehoboth","Massachusetts",2769,1600
399000,"4","2",0.19,"East Providence","Rhode Island",2916,1344
398900,"3","2",0.41,"Smithfield","Rhode Island",2917,1132
759900,"4","3",1.58,"Scituate","Rhode Island",2857,3425
379900,"4","2",0.11,"Pawtucket","Rhode Island",2860,3003
259000,"2","1",0.15,"Pawtucket","Rhode Island",2860,728
600000,"3","3",0.28,"North Providence","Rhode Island",2904,2184
679900,"4","3",0.58,"Attleboro","Massachusetts",2703,2817
999900,"4","4",0.93,"Foxboro","Massachusetts",2035,3540
419900,"3","2",0.15,"Haverhill","Massachusetts",1832,1806
629900,"3","3",0.35,"Haverhill","Massachusetts",1832,2000
759000,"3","3",1.84,"Haverhill","Massachusetts",1832,2941
549900,"3","2",1.3,"Haverhill","Massachusetts",1832,1870
569000,"3","3",0.25,"Haverhill","Massachusetts",1832,1690
579900,"5","3",0.1,"Haverhill","Massachusetts",1832,2276
399900,"2","1",0.23,"Haverhill","Massachusetts",1832,1108
449900,"4","1",1.08,"Haverhill","Massachusetts",1832,1098
789000,"2","3",0.36,"Haverhill","Massachusetts",1832,2514
525000,"5","2",0.07,"Haverhill","Massachusetts",1832,1866
584900,"7","3",0.08,"Haverhill","Massachusetts",1832,3337
599000,"4","2",1.3,"Georgetown","Massachusetts",1833,1666
575000,"3","3",0.52,"Georgetown","Massachusetts",1833,1626
375000,"2","1",0.68,"Groveland","Massachusetts",1834,1522
480000,"3","1",0.3,"Groveland","Massachusetts",1834,1382
575000,"6","3",0.15,"Haverhill","Massachusetts",1835,2900
565000,"3","2",0.29,"Haverhill","Massachusetts",1835,1803
375000,"3","2",0.13,"Haverhill","Massachusetts",1835,1403
499900,"3","3",0.71,"Haverhill","Massachusetts",1835,1674
475000,"3","2",0.17,"Haverhill","Massachusetts",1835,1632
479900,"7","3",0.04,"Lawrence","Massachusetts",1840,2900
525000,"3","2",0.21,"Easton","Massachusetts",2375,1615
649900,"3","3",0.23,"Canton","Massachusetts",2021,1600
300000,"3","1",0.26,"Methuen","Massachusetts",1844,1552
675000,"3","3",1.16,"Methuen","Massachusetts",1844,2962
455000,"3","2",0.15,"Methuen","Massachusetts",1844,1944
599900,"5","2",0.37,"Methuen","Massachusetts",1844,2461
634490,"4","4",0.53,"Methuen","Massachusetts",1844,3800
499000,"3","4",0.36,"Methuen","Massachusetts",1844,2209
575000,"3","3",0.33,"Methuen","Massachusetts",1844,2262
599900,"3","3",0.53,"Methuen","Massachusetts",1844,1752
549000,"4","2",0.34,"Methuen","Massachusetts",1844,2308
825000,"3","2",0.22,"Methuen","Massachusetts",1844,2601
450000,"3","2",0.27,"Methuen","Massachusetts",1844,2373
499900,"4","2",0.16,"Methuen","Massachusetts",1844,1932
650000,"3","1",1.69,"Methuen","Massachusetts",1844,1438
445000,"3","1",0.25,"Methuen","Massachusetts",1844,1199
489000,"4","2",0.18,"North Andover","Massachusetts",1845,1440
649000,"3","2",0.15,"North Andover","Massachusetts",1845,1456
470000,"3","1",0.13,"North Andover","Massachusetts",1845,1172
599900,"3","2",0.17,"North Andover","Massachusetts",1845,1641
1199000,"4","4",1,"North Andover","Massachusetts",1845,4500
599900,"4","4",0.42,"North Andover","Massachusetts",1845,2318
325000,"2","1",0.13,"Merrimac","Massachusetts",1860,720
749900,"4","3",1.84,"Merrimac","Massachusetts",1860,2955
729000,"4","3",0.56,"Merrimac","Massachusetts",1860,2724
953000,"5","4",0.75,"Salem","New Hampshire",3079,3754
549900,"3","3",0.26,"Salisbury","Massachusetts",1952,1872
835000,"4","3",0.62,"Salem","New Hampshire",3079,2852
1300000,"2","2",0.55,"Newbury","Massachusetts",1951,1122
764900,"3","3",0.2,"Methuen","Massachusetts",1844,2300
739000,"2","3",0.23,"Rowley","Massachusetts",1969,2000
739000,"2","3",0.23,"Rowley","Massachusetts",1969,2000
499990,"7","3",0.15,"Lawrence","Massachusetts",1841,2623
250000,"2","1",0.03,"Lawrence","Massachusetts",1841,681
375000,"5","2",0.15,"Lawrence","Massachusetts",1841,1608
569000,"6","4",0.47,"Derry","New Hampshire",3038,2600
569900,"2","2",0.28,"Salem","New Hampshire",3079,2454
299000,"2","2",0.11,"Derry","New Hampshire",3038,1932
1295000,"4","3",0.35,"Salem","New Hampshire",3079,4246
399900,"2","1",0.67,"Salem","New Hampshire",3079,1366
875000,"4","4",2,"Boxford","Massachusetts",1921,3394
389000,"3","2",0.12,"Salem","New Hampshire",3079,1332
497000,"3","2",1.5,"Salem","New Hampshire",3079,1936
425000,"3","2",0.2,"Hampton","New Hampshire",3842,1456
399900,"3","2",0.25,"Raymond","New Hampshire",3077,1700
660000,"3","3",2.02,"Brentwood","New Hampshire",3833,2334
220000,"2","2",1.16,"Derry","New Hampshire",3038,1448
459900,"4","3",0.35,"Exeter","New Hampshire",3833,2433
324900,"2","1",1,"South Hampton","New Hampshire",3827,753
750000,"4","2",0.09,"Exeter","New Hampshire",3833,1840
885000,"6","3",0.11,"Hampton","New Hampshire",3842,2175
1250000,"3","2",0.75,"Exeter","New Hampshire",3833,2302
84900,"1","1",0.53,"Danville","New Hampshire",3819,528
265000,"2","2",0.28,"Hampton","New Hampshire",3842,1748
314900,"3","2",0.71,"Plaistow","New Hampshire",3865,1200
825000,"4","2",0.5,"Salisbury","Massachusetts",1952,2800
1399900,"3","4",0.07,"Newburyport","Massachusetts",1950,2722
409900,"3","2",0.38,"Exeter","New Hampshire",3833,2342
624900,"3","3",1.36,"Kensington","New Hampshire",3833,2031
550000,"6","4",2,"Danville","New Hampshire",3819,2756
749900,"3","3",1.28,"Hampstead","New Hampshire",3841,2300
859900,"3","3",0.56,"Amesbury","Massachusetts",1913,2128
699000,"4","4",1.33,"Salem","New Hampshire",3079,3428
469721,"3","2",1.34,"Derry","New Hampshire",3038,2045
469000,"2","1",0.08,"Salem","New Hampshire",3079,884
325000,"2","2",2.41,"Kingston","New Hampshire",3848,1886
350000,"2","2",2.41,"Kingston","New Hampshire",3848,2105
649900,"2","2",0.17,"Atkinson","New Hampshire",3811,2000
353000,"3","2",0.3,"Kingston","New Hampshire",3848,1286
675000,"4","2",2.41,"Kingston","New Hampshire",3848,3815
799000,"5","3",2.2,"Plaistow","New Hampshire",3865,3738
560000,"3","3",1.73,"Hampstead","New Hampshire",3841,2577
489900,"4","3",1.29,"Derry","New Hampshire",3038,2296
574000,"4","2",0.04,"Hampton","New Hampshire",3842,1620
449900,"3","2",0.99,"Danville","New Hampshire",3819,1726
439900,"3","2",1,"Derry","New Hampshire",3038,2000
549900,"3","3",0.66,"Exeter","New Hampshire",3833,1577
649000,"3","2",0.24,"Ipswich","Massachusetts",1938,2515
615000,"4","3",0.39,"Hampton","New Hampshire",3842,2215
819900,"4","3",1.13,"Ipswich","Massachusetts",1938,2264
